Position 1,Position 2,Position 3,Position 4,Position 5,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
D. Vassell , M. Branham , B. Wesley , J. Sochan , V. Wembanyama,1,3,7,3,6,50,1,3,33.3,0,0,0,0,2,2,3,0,0,0,0,1,0,0
Z. Collins , K. Johnson , D. Vassell , B. Wesley , J. Sochan,14,3,7,2.6,6,44,0.5,2,25,1.2,1.7,70.8,1.1,2.2,3.4,1.9,1,0.5,0.2,0.4,0.7,1,0.2
C. Osman , K. Johnson , M. Branham , B. Wesley , D. Barlow,6,2.9,7,2.5,5.3,46.9,0.5,1.8,27.3,1.5,1.7,90,0.5,1.8,2.3,1.8,0.7,0.3,0.5,0.3,2,0.8,-1.5
C. Osman , Z. Collins , K. Johnson , D. Vassell , B. Wesley,11,2.9,6.4,2.4,5.3,44.8,0.5,1.5,31.3,1.2,1.4,86.7,0.5,1.6,2.1,1.5,0.6,0.5,0.2,0.8,1.5,1.1,-1.7
D. McDermott , C. Osman , T. Jones , S. Mamukelashvili , D. Barlow,1,2.9,2,1,6,16.7,0,3,0,0,0,0,1,1,2,1,0,0,1,0,1,0,-5
D. McDermott , D. Vassell , J. Champagnie , J. Sochan , V. Wembanyama,1,2.9,8,3,4,75,1,2,50,1,2,50,0,2,2,2,1,1,1,0,0,1,1
D. McDermott , K. Johnson , S. Mamukelashvili , M. Branham , V. Wembanyama,1,2.9,9,4,5,80,1,1,100,0,0,0,0,5,5,4,2,0,0,0,2,1,2
D. McDermott , Z. Collins , K. Johnson , D. Vassell , J. Sochan,6,2.9,7.3,2.7,5,53.3,1.2,2.5,46.7,0.8,1.5,55.6,0,2.3,2.3,1.8,0.8,0.3,0.3,0,0.8,1.2,1.5
D. Vassell , T. Jones , B. Wesley , J. Sochan , V. Wembanyama,1,2.9,4,2,7,28.6,0,3,0,0,0,0,1,3,4,2,0,1,1,1,1,0,-1
Z. Collins , K. Johnson , J. Champagnie , M. Branham , B. Wesley,1,2.9,9,3,4,75,1,2,50,2,2,100,1,1,2,2,0,0,0,0,0,2,3
C. Osman , K. Johnson , D. Vassell , B. Wesley , D. Barlow,4,2.8,5.8,2.3,5,45,0.8,1.5,50,0.5,0.8,66.7,0.3,2,2.3,1.8,1,0.8,0.3,0.5,1.8,0.5,-0.3
D. McDermott , Z. Collins , K. Johnson , S. Mamukelashvili , J. Sochan,1,2.8,9,3,3,100,1,1,100,2,2,100,0,2,2,1,2,0,0,0,3,3,2
D. Vassell , J. Champagnie , B. Wesley , J. Sochan , D. Barlow,1,2.8,4,2,3,66.7,0,1,0,0,0,0,1,2,3,1,2,1,0,0,2,1,2
K. Johnson , T. Jones , J. Champagnie , J. Sochan , D. Barlow,1,2.8,6,3,6,50,0,1,0,0,0,0,1,1,2,1,0,1,0,1,0,2,2
Z. Collins , K. Johnson , D. Vassell , T. Jones , J. Sochan,26,2.8,6.2,2.5,4.8,51.2,0.7,2,32.1,0.6,0.8,72.7,0.4,2,2.4,1.5,0.8,0.4,0.3,0.2,1.3,0.8,-0.5
C. Osman , C. Bassey , T. Jones , M. Branham , V. Wembanyama,6,2.7,6.2,2.5,5.2,48.4,0.7,1.7,40,0.5,0.5,100,0.5,1.8,2.3,1.2,1.2,0.8,0.3,0.7,0.8,0.8,0.7
C. Osman , K. Johnson , C. Bassey , D. Vassell , T. Jones,6,2.7,6.7,2.3,5,46.7,0.8,2.2,38.5,1.2,1.2,100,0.2,2,2.2,1.5,0.5,0.2,0.3,0,1,0.8,0
D. McDermott , C. Osman , C. Bassey , M. Branham , J. Sochan,3,2.7,5,2,3.7,54.5,0.3,1.3,25,0.7,0.7,100,0.7,1.3,2,1.7,1.7,0,0.3,0.3,0.3,0.3,-1.7
D. McDermott , C. Osman , K. Johnson , B. Wesley , D. Barlow,2,2.7,8,3.5,7,50,0,1.5,0,1,1,100,1,1.5,2.5,0.5,0,0,0,1,2.5,1.5,-2.5
D. McDermott , K. Johnson , D. Vassell , T. Jones , D. Barlow,1,2.7,14,4,8,50,4,6,66.7,2,2,100,3,1,4,4,0,1,0,1,1,1,6
D. McDermott , Z. Collins , D. Vassell , M. Branham , J. Sochan,2,2.7,9.5,3,5.5,54.5,1,2,50,2.5,3,83.3,2,1.5,3.5,2.5,0.5,0.5,0,0,1,1.5,3
Z. Collins , K. Johnson , D. Vassell , T. Jones , S. Cissoko,1,2.7,7,3,5,60,1,3,33.3,0,0,0,0,2,2,1,1,0,1,0,2,0,-1
D. McDermott , C. Osman , D. Graham , C. Bassey , M. Branham,1,2.6,7,2,6,33.3,1,3,33.3,2,3,66.7,1,2,3,1,1,0,0,0,0,2,2
D. McDermott , C. Osman , K. Johnson , T. Jones , V. Wembanyama,15,2.6,5.4,2.1,5,41.3,0.5,2.1,21.9,0.8,1,80,0.5,1.7,2.3,1.4,0.8,0.4,0.5,0.2,0.8,1.3,-1
D. McDermott , C. Osman , M. Branham , B. Wesley , V. Wembanyama,2,2.6,6,2.5,5,50,0,2,0,1,1.5,66.7,0,2.5,2.5,1.5,0.5,1,0.5,0,1,2.5,0
D. McDermott , K. Johnson , C. Bassey , D. Vassell , T. Jones,2,2.6,6.5,3,5.5,54.5,0.5,2.5,20,0,0,0,0.5,1,1.5,2,0.5,0,0,0,0.5,0,-1
K. Johnson , D. Vassell , T. Jones , J. Champagnie , V. Wembanyama,6,2.6,8.2,2.8,6,47.2,1.7,3.3,50,0.8,0.8,100,1,2,3,2.3,0.5,0.8,0.5,0.3,1.2,1.2,2.7
C. Osman , C. Bassey , D. Vassell , T. Jones , J. Champagnie,2,2.5,5.5,2,4.5,44.4,1.5,2.5,60,0,0,0,0.5,1.5,2,1.5,0.5,0,1,0,2,0.5,0.5
C. Osman , K. Johnson , D. Vassell , M. Branham , D. Barlow,6,2.5,5.5,2.3,5.2,45.2,0.5,1,50,0.3,0.7,50,1.3,1.8,3.2,1.3,0.2,0.2,0.3,0.5,0.8,0.7,-0.7
C. Osman , K. Johnson , D. Vassell , S. Mamukelashvili , B. Wesley,1,2.5,7,3,5,60,1,3,33.3,0,0,0,0,0,0,3,0,0,0,0,0,0,-1
C. Osman , K. Johnson , T. Jones , B. Wesley , V. Wembanyama,1,2.5,6,2,3,66.7,1,2,50,1,3,33.3,0,1,1,1,0,1,1,0,1,2,4
D. McDermott , C. Osman , M. Branham , J. Sochan , V. Wembanyama,3,2.5,7.3,2.3,5.3,43.8,1.3,2.3,57.1,1.3,1.7,80,0,2.3,2.3,2.3,0.3,0.3,0.3,0.3,1,2.3,0.3
D. McDermott , C. Osman , Z. Collins , K. Johnson , B. Wesley,4,2.5,4.5,2,6.3,32,0.5,3,16.7,0,0,0,1,2,3,1.5,0,0.5,0.3,0,1.8,0,-1.5
D. McDermott , D. Vassell , T. Jones , J. Sochan , V. Wembanyama,14,2.5,5.5,2.1,4.2,50.8,0.6,2.1,31,0.6,0.9,66.7,0.5,2,2.5,1.6,1.1,0.4,0.4,0.3,0.6,1.1,0.4
D. McDermott , Z. Collins , D. Vassell , T. Jones , V. Wembanyama,6,2.5,6,2.7,4.7,57.1,0.5,1.7,30,0.2,0.7,25,0.7,2.7,3.3,2.2,0.7,0,0.2,0,1.3,1.2,2
S. Mamukelashvili , J. Champagnie , M. Branham , B. Wesley , S. Cissoko,2,2.5,7,2.5,4.5,55.6,0.5,1,50,1.5,2,75,0.5,2,2.5,2,0,0,0,0,0,1.5,4
C. Osman , K. Johnson , B. Wesley , J. Sochan , V. Wembanyama,2,2.4,6,2,3.5,57.1,0.5,1.5,33.3,1.5,1.5,100,0,2,2,1,1,0.5,0,0.5,0.5,1,-0.5
C. Osman , K. Johnson , T. Jones , S. Mamukelashvili , M. Branham,2,2.4,6,2,5.5,36.4,1,3.5,28.6,1,1,100,0.5,0.5,1,1.5,0,0,0,0.5,2,0.5,-4.5
