#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
217,Kevon Looney,GSW,60,17.1,4.6,1.9,3.2,59.1,0,0,0,0.8,1.1,67.6,2.1,3.9,6,2,0.4,0.4,0.7,11
218,Aaron Holiday,HOU,57,17.1,6.8,2.5,5.5,45.3,1.2,2.9,41,0.7,0.8,88.9,0.3,1.4,1.7,1.8,0.5,0.1,0.8,7.1
219,Jae'Sean Tate,HOU,53,17.1,4.3,1.8,3.7,47,0.4,1.3,30.4,0.4,0.6,68.8,1,2.3,3.3,1.1,0.7,0.2,0.5,6.9
220,Julian Champagnie,SAS,53,16.8,5.8,1.9,4.8,39.8,1.2,3.4,35.9,0.8,1,80.8,0.6,2,2.6,1.2,0.6,0.5,0.6,7.1
221,Jeff Green,HOU,58,16.6,6.1,1.9,4.2,46.7,0.5,1.5,30.7,1.7,2.1,81,0.6,1.6,2.1,0.9,0.2,0.4,0.7,6.3
222,Marcus Sasser,DET,51,16.4,7.6,2.9,6.2,45.9,1.2,2.8,41,0.7,0.8,85.4,0.1,1.4,1.6,3,0.6,0.2,1,8.4
223,Max Christie,LAL,49,16.3,4.9,1.7,4.1,42.7,0.7,2,35.7,0.7,0.9,78.6,0.2,2.2,2.4,1,0.3,0.3,0.6,5.9
224,Landry Shamet,WAS,44,16,7.4,2.7,6.2,43,1.2,3.5,34,0.9,1,82.6,0.4,1,1.4,1.2,0.6,0.2,0.7,6.4
225,Bryce McGowens,CHA,48,15.9,5.4,1.8,4,45.8,0.6,1.8,34.5,1.1,1.4,76.1,0.3,1.5,1.9,0.9,0.4,0.1,0.5,5.7
226,Drew Eubanks,PHX,55,15.8,5.5,2.2,3.5,61.9,0.1,0.1,100,1,1.4,75,1.3,2.9,4.2,0.9,0.4,0.8,0.9,9.1
227,Sam Merrill,CLE,42,15.8,8.1,2.7,6.2,44,2.4,5.4,44.1,0.3,0.3,91.7,0.4,1.5,1.9,1.5,0.3,0,0.3,8.1
228,Jordan Goodwin,MEM,45,15.7,5.3,2,5.3,37.9,0.6,2.1,28.4,0.6,0.9,74.4,1.1,2.1,3.2,2.3,0.7,0.3,0.9,7.4
229,Day'Ron Sharpe,BKN,46,15.6,7.3,2.9,5,58.3,0.1,0.3,33.3,1.4,2.3,61.3,2.7,4,6.7,1.4,0.5,0.8,1.1,12.6
230,Cameron Payne,PHI,56,15.6,6.8,2.4,5.3,44.5,1.2,3,38.8,0.8,1,85.2,0.2,1.1,1.3,2.5,0.4,0.1,0.7,7.3
231,Caleb Houstan,ORL,44,15.1,4.9,1.5,3.9,39.8,1.4,3.6,38.1,0.4,0.5,77.3,0.5,1.2,1.7,0.6,0.3,0.1,0.3,4.7
232,Jaden Hardy,DAL,54,14.8,7.8,2.9,7.1,40.7,1.3,3.6,36.5,0.7,1,71.7,0.3,1.6,1.9,1.6,0.3,0.1,0.7,6.4
233,Doug McDermott,IND,52,14.7,5.7,2,4.6,42.7,1.5,3.7,41.5,0.2,0.4,57.9,0.2,0.8,1,1.2,0.2,0,0.5,4.8
234,Dwight Powell,DAL,50,14.7,3.9,1.3,1.9,70.5,0,0,50,1.2,1.7,72.3,1.6,2,3.6,1.5,0.4,0.4,0.6,8.3
235,Luke Kornet,BOS,43,14.6,4.9,2.1,3,69.5,0,0,0,0.7,0.8,88.6,1.8,2,3.8,0.8,0.4,1,0.4,9.5
236,Aaron Wiggins,OKC,58,14.5,6.3,2.4,4.3,57.1,0.8,1.6,50.5,0.6,0.8,78.3,0.7,1.6,2.3,0.9,0.6,0.2,0.6,7.6
237,Kenrich Williams,OKC,50,14.3,4.2,1.7,3.7,45.4,0.8,2,39,0.1,0.2,30,0.7,2,2.8,1.2,0.5,0.1,0.4,6.3
238,Miles McBride,NYK,48,14.1,6.4,2.4,5.3,44.3,1.2,3,40.1,0.5,0.6,81.5,0.3,0.8,1,1.2,0.6,0.1,0.4,5.9
239,Seth Curry,CHA,44,14,5.1,1.8,4.6,39.2,0.9,2.5,35.2,0.6,0.7,90.3,0.4,1.1,1.5,1,0.5,0.1,0.5,5
240,Keita Bates-Diop,BKN,46,13.9,4.2,1.5,3.5,43.8,0.5,1.5,30.9,0.7,0.9,75,0.7,1.6,2.3,0.8,0.5,0.5,0.3,5.7
241,Isaiah Jackson,IND,46,13.7,7,2.8,4.3,66.2,0,0.1,0,1.3,1.9,70.9,1.6,2.6,4.2,0.9,0.6,1.1,0.8,11
242,Chris Boucher,TOR,48,13.5,6.1,2.1,4.3,49,0.6,1.9,31.9,1.3,1.8,75.3,1.2,2.8,4,0.4,0.3,0.4,0.5,8.1
243,Jevon Carter,CHI,58,13.5,4.8,1.9,5.1,36.7,1.1,3.2,33,0.1,0.1,60,0.1,0.7,0.8,1.2,0.5,0.2,0.5,3.8
244,Davion Mitchell,SAC,50,13.4,4.2,1.6,3.7,43.7,0.6,1.8,31.1,0.4,0.5,74.1,0.2,0.9,1.1,1.7,0.2,0.1,0.6,4.4
245,MarJon Beauchamp,MIL,44,13.3,4.4,1.7,3.5,48.7,0.6,1.6,40,0.4,0.6,67.9,0.5,1.7,2.2,0.7,0.3,0.1,0.6,5.1
246,Chris Duarte,SAC,43,13.2,4,1.4,3.6,38.5,0.7,2.1,35.6,0.5,0.6,77.8,0.4,1.5,1.9,0.8,0.5,0.1,0.5,4.6
247,Shake Milton,DET,42,13.2,4.9,1.8,4.4,40.3,0.4,1.5,27.4,0.9,1.1,80.9,0.3,1.3,1.6,1.3,0.4,0.1,0.7,4.8
248,Trayce Jackson-Davis,GSW,47,13.1,6.6,2.8,4,68.9,0,0,0,1,1.8,57.8,1.7,2.3,4,0.9,0.3,0.8,0.6,10
249,Garrison Mathews,ATL,44,12.8,3.5,1.1,2.6,43,1,2.4,42.3,0.2,0.3,66.7,0.2,1.1,1.3,0.5,0.3,0.1,0.3,3.6
250,JT Thor,CHA,47,12.7,2.8,1.1,3,36.4,0.4,1.3,30.6,0.1,0.3,53.8,0.8,1.6,2.4,0.4,0.2,0.4,0.3,3.8
251,Jaylin Williams,OKC,50,12.6,3.8,1.3,3.3,39.4,0.8,2.1,36.2,0.5,0.6,82.1,0.5,2.7,3.2,1.3,0.4,0.4,0.4,6.6
252,Trendon Watford,BKN,43,11.6,5.9,2.3,4.2,54.1,0.3,0.9,36.8,1,1.1,89.4,0.8,1.8,2.6,1.3,0.3,0.2,0.7,7.5
253,Malachi Flynn,DET,52,11.6,4.2,1.5,3.7,39.6,0.7,2,34,0.5,0.7,75.7,0.3,1.3,1.5,1.7,0.4,0.1,0.8,4.7
254,Troy Brown Jr.,DET,43,11.5,4.2,1.4,3.3,42.7,0.8,2.3,36.4,0.5,0.6,87.5,0.4,1.7,2,1,0.2,0,0.5,5
255,KJ Martin,PHI,43,11.3,3.5,1.5,2.7,55.1,0.1,0.5,25,0.3,0.7,48.3,0.4,1.4,1.8,0.7,0.4,0.1,0.5,4.4
256,Jaxson Hayes,LAL,52,11.3,3.7,1.6,2.3,69.2,0,0.2,0,0.5,0.9,59.6,0.9,1.7,2.5,0.5,0.5,0.4,0.4,6.1
257,Andre Jackson Jr.,MIL,47,10.6,2.4,1,1.9,52.9,0.3,0.9,37.5,0.2,0.2,72.7,0.8,1.2,2,0.9,0.3,0.1,0.4,4.4
258,Zeke Nnaji,DEN,46,9.8,3.3,1.2,2.7,43.7,0.1,0.4,25,0.8,1.2,69.8,1.2,1,2.2,0.6,0.3,0.7,0.6,4.5
